Name,Price,URL,Delivery Date,Sponsored,Rating,Number of Ratings,Units Sold
"Golden Metal Trim Wall Strip Stainless Steel PVD Coated 8K Mirror Gold Finish Flat Trim Strip profile 20 mm x 16.4ft(5mtr) Roll for wall Decoration, Furniture, Highlighters (Pack of 1)",₹399,https://www.amazon.in/Golden-Metal-Wall-Decoration-Highlighters/dp/B0FG3G5N6M/ref=sr_1_20,"Wed, 7 Jan",No,4.0,42,100
"Happer Plastic Premium Multipurpose Wall Mounted Storage Cabinet with Mirror, Prime Look (Black)",₹999,https://www.amazon.in/dp/B0DH89XCRX,"Mon, 5 Jan",Yes,4.2,10,N/A
"Patio Chair Sets Garden Wicker Furniture Set for Outdoor Patio and Balcony || Powder Coated Frame| UV Protected Wicker [2 Chair, 1 Table]","₹7,999",https://www.amazon.in/dp/B0CWYJ64DW,2 - 5 Jan,Yes,4.2,57,N/A
"LAPO 6 Inch Stainless Steel Cabinet Handles for Kitchen Drawers, Modern Antique Pull Handles for Stylish Furniture (160mm, Antique Finish, 6 Inch, Pack of 3)",₹775,https://www.amazon.in/dp/B0FZC3M1FB,"Tue, 6 Jan",Yes,5.0,1,N/A
JD FRESH 4-Tier Metal Rotating Kitchen Trolley/Spice Rack/Vegetable & Fruit Storage/Organizer Holder/Onion-Potato Storage Basket for Kitchen/Vegetable Storage Stand,"₹2,199",https://www.amazon.in/dp/B0DQL77D37,"Sat, 3 Jan",Yes,4.1,509,300
"Lukzer | MGR-002 | White | Metal Cloth Stand & Garment Rack with Wheels, 2 Bottom Shelves & Single Rod – Space-Saving Clothes Organizer for Bedroom, Laundry, Entryway & More | 173 x 90 x 34 cm","₹1,936",https://www.amazon.in/Lukzer-MGR-002-Metal-Cloth-Wheels/dp/B0C74DT54T/ref=sr_1_25,"Tue, 6 Jan",No,4.1,2,500
Metal (Pack of 2 Self-Adhesive Shelf/Storage Organizer for Bathroom and Corner Wall Mounted Rack Shelf Bathroom Accessories Storage Rack (No Drilling-Shelf Adhesive) (Black Style 1),₹249,https://www.amazon.in/BASEVEL-Self-Adhesive-Organizer-Accessories-Drilling-Shelf/dp/B0FYG6PLNK/ref=sr_1_26,"Fri, 2 Jan",No,4.5,55,200
"Boniry Metal Bathroom Organiser Without Drill Bathroom Corner Shelf Adhesive Stand for Corner Rack for Bathroom, Shampoo Holder Multipurpose Bathroom Shelf (1 Pcs Corner)",₹259,https://www.amazon.in/Boniry-Bathroom-Corner-Shelf-Multipurpose/dp/B0D73CQQXC/ref=sr_1_27,"Fri, 2 Jan",No,3.8,1,100
"Heavy Metal Shoe Rack (3 Shelves) Foldable Open Book Shelf, Book Shelve, Shoe Rack, Shoes Storage Rack for Home Shoe Stand Shelf Big (60 * 60 * 25 cm) (Black) (3 Shelf Big)",₹429,https://www.amazon.in/Metal-Shoe-Rack-Shelves-Foldable/dp/B0FYX2F68R/ref=sr_1_28,"Wed, 7 Jan",No,3.7,10,200
Redwud Metal Table Legs Center Table Legs Furniture Legs Hairpin (Set of 4) (12 inch),₹999,https://www.amazon.in/Redwud-Metal-Center-Furniture-Hairpin/dp/B0CWNQ1LNQ/ref=sr_1_29,"Mon, 5 Jan",No,4.1,40,N/A
"Oslen Metal Multipurpose Bathroom/Kitchen Corner Storage Organizer Wall Mounted Rack Shelf Shower Caddy (No Drilling - Shelf Adhesive) Bathroom Accessories Storage Rack (Black, Pack of 1)",₹289,https://www.amazon.in/Oslen-Multipurpose-Bathroom-Organizer-Drilling/dp/B0DNXSGRPY/ref=sr_1_30,"Fri, 2 Jan",No,3.7,577,50
Farmhouse Accent Coffee Table Simple Modern Bedside Side Table Small Round Table Engineer Top Metal Table Living Room Sofa Natural Brown,₹299,https://www.amazon.in/ETIQUETTE-ART-Farmhouse-Bedside-Engineer/dp/B0G71SPCCX/ref=sr_1_31,"Fri, 9 Jan",No,5.0,11,N/A
"Metal Black 4-Tier Rolling Storage Cart with Wheels, Portable Utility Organizer Trolley for Kitchen, Bathroom, Office, Salon (KITCHEN RACK 4 TIRE)",₹499,https://www.amazon.in/OPTIFINE-Rolling-Portable-Organizer-Bathroom/dp/B0FG1HDHPJ/ref=sr_1_32,"Wed, 7 Jan",No,3.0,139,50
"Heavy Metal Shoe Rack (4 Shelves) Foldable Open Book Shelf, Book Shelve, Shoe Rack, Shoes Storage Rack for Home Shoe Stand Shelf Big (60 * 60 * 25 cm) (Black) (4 Shelf Big)",₹599,https://www.amazon.in/Metal-Shoe-Rack-Shelves-Foldable/dp/B0G2RJX7NC/ref=sr_1_33,"Wed, 7 Jan",No,3.0,2,100
MosQuick® 1 pc Self-Adhesive Metal Bathroom Rack Rust Proof Bathroom Organiser Without Drill Premiun Bathroom Shelves Wall Mounted Shelves Kitchen Shelf Storage Rack with 4 Hooks (Black),₹199,https://www.amazon.in/MosQuick%C2%AE-Self-Adhesive-Bathroom-Organiser-Without/dp/B0G4CMK9PC/ref=sr_1_34,"Sun, 4 Jan",No,5.0,2,N/A
